,Reaction,Energy,Ea,Surface,Facet,Sites,DFT methodology ,Reference,Surf_Element,Surf_Atom_N,Surf_Atom_M,Surf_Elec_V,Surf_VdW_R,Surf_Cov_R,Surf_Bond_R,Surf_Common_Iso,Surf_Common_Iso_M,DemlData minimum atom_num,DemlData maximum atom_num,DemlData range atom_num,DemlData mean atom_num,DemlData std_dev atom_num,DemlData minimum atom_mass,DemlData maximum atom_mass,DemlData range atom_mass,DemlData mean atom_mass,DemlData std_dev atom_mass,DemlData minimum row_num,DemlData maximum row_num,DemlData range row_num,DemlData mean row_num,DemlData std_dev row_num,DemlData minimum col_num,DemlData maximum col_num,DemlData range col_num,DemlData mean col_num,DemlData std_dev col_num,DemlData minimum atom_radius,DemlData maximum atom_radius,DemlData range atom_radius,DemlData mean atom_radius,DemlData std_dev atom_radius,DemlData minimum molar_vol,DemlData maximum molar_vol,DemlData range molar_vol,DemlData mean molar_vol,DemlData std_dev molar_vol,DemlData minimum heat_fusion,DemlData maximum heat_fusion,DemlData range heat_fusion,DemlData mean heat_fusion,DemlData std_dev heat_fusion,DemlData minimum melting_point,DemlData maximum melting_point,DemlData range melting_point,DemlData mean melting_point,DemlData std_dev melting_point,DemlData minimum boiling_point,DemlData maximum boiling_point,DemlData range boiling_point,DemlData mean boiling_point,DemlData std_dev boiling_point,DemlData minimum heat_cap,DemlData maximum heat_cap,DemlData range heat_cap,DemlData mean heat_cap,DemlData std_dev heat_cap,DemlData minimum first_ioniz,DemlData maximum first_ioniz,DemlData range first_ioniz,DemlData mean first_ioniz,DemlData std_dev first_ioniz,DemlData minimum electronegativity,DemlData maximum electronegativity,DemlData range electronegativity,DemlData mean electronegativity,DemlData std_dev electronegativity,DemlData minimum electric_pol,DemlData maximum electric_pol,DemlData range electric_pol,DemlData mean electric_pol,DemlData std_dev electric_pol,DemlData minimum GGAU_Etot,DemlData maximum GGAU_Etot,DemlData range GGAU_Etot,DemlData mean GGAU_Etot,DemlData std_dev GGAU_Etot,DemlData minimum mus_fere,DemlData maximum mus_fere,DemlData range mus_fere,DemlData mean mus_fere,DemlData std_dev mus_fere,DemlData minimum FERE correction,DemlData maximum FERE correction,DemlData range FERE correction,DemlData mean FERE correction,DemlData std_dev FERE correction,Reactants_SMARTS,Products_SMARTS
150,CH4(g) - 2.0H2(g) + * → C*,0.88,,V1,111,"{""C"": ""hollow|A_A_A|FCC""}",BEEF-vdW/Quantum ESPRESSO 5.1,,Vanadium,23,50.942,5,2.05,1.33,1.22,50,49.9471585,23,23,0,23.0,0,50.9415,50.9415,0.0,50.9415,0,4,4,0,4.0,0,5,5,0,5.0,0,135,135,0,135.0,0,8.32,8.32,0.0,8.32,0,22800,22800,0,22800.0,0,2183.0,2183.0,0.0,2183.0,0,3680.0,3680.0,0.0,3680.0,0,24.89,24.89,0.0,24.89,0,650900,650900,0,650900.0,0,1.63,1.63,0.0,1.63,0,12.4,12.4,0.0,12.4,0,-5.97,-5.97,0.0,-5.97,0,-6.421972588476486,-6.421972588476486,0.0,-6.421972588476486,0,-0.4519725884764867,-0.4519725884764867,0.0,-0.4519725884764867,0,"['CH4(g) - 2.0H2(g)', '[*]']",['[C][*]']
151,CH4(g) - 2.0H2(g) + * → C*,0.98,,Cr1,111,"{""C"": ""hollow|A_A_A|FCC""}",BEEF-vdW/Quantum ESPRESSO 5.1,,Chromium,24,51.996,6,2.05,1.35,1.18,52,51.9405075,24,24,0,24.0,0,51.9961,51.9961,0.0,51.9961,0,4,4,0,4.0,0,6,6,0,6.0,0,140,140,0,140.0,0,7.23,7.23,0.0,7.23,0,20500,20500,0,20500.0,0,2180.0,2180.0,0.0,2180.0,0,2944.0,2944.0,0.0,2944.0,0,23.35,23.35,0.0,23.35,0,652900,652900,0,652900.0,0,1.66,1.66,0.0,1.66,0,11.6,11.6,0.0,11.6,0,-7.29,-7.29,0.0,-7.29,0,-7.22241467523842,-7.22241467523842,0.0,-7.22241467523842,0,0.06758532476157963,0.06758532476157963,0.0,0.06758532476157963,0,"['CH4(g) - 2.0H2(g)', '[*]']",['[C][*]']
152,CH4(g) - 2.0H2(g) + * → C*,,,Mn1,111,,,,Manganese,25,54.938,7,2.05,1.35,1.17,55,54.9380451,25,25,0,25.0,0,54.938045,54.938045,0.0,54.938045,0,4,4,0,4.0,0,7,7,0,7.0,0,140,140,0,140.0,0,7.35,7.35,0.0,7.35,0,13200,13200,0,13200.0,0,1519.0,1519.0,0.0,1519.0,0,2334.0,2334.0,0.0,2334.0,0,26.32,26.32,0.0,26.32,0,717300,717300,0,717300.0,0,1.55,1.55,0.0,1.55,0,9.4,9.4,0.0,9.4,0,-6.97,-6.97,0.0,-6.97,0,-6.996577825851199,-6.996577825851199,0.0,-6.996577825851199,0,-0.0265778258511995,-0.0265778258511995,0.0,-0.0265778258511995,0,"['CH4(g) - 2.0H2(g)', '[*]']",['[C][*]']
153,CH4(g) - 2.0H2(g) + * → C*,2.31,,Fe1,111,"{""C"": ""hollow|A_A_A|FCC""}",BEEF-vdW/Quantum ESPRESSO 5.1,,Iron,26,55.845,8,2.05,1.34,1.17,56,55.9349375,26,26,0,26.0,0,55.845,55.845,0.0,55.845,0,4,4,0,4.0,0,8,8,0,8.0,0,140,140,0,140.0,0,7.09,7.09,0.0,7.09,0,13800,13800,0,13800.0,0,1811.0,1811.0,0.0,1811.0,0,3134.0,3134.0,0.0,3134.0,0,25.1,25.1,0.0,25.1,0,762500,762500,0,762500.0,0,1.83,1.83,0.0,1.83,0,8.4,8.4,0.0,8.4,0,-6.0,-6.0,0.0,-6.0,0,-6.1521343161090325,-6.1521343161090325,0.0,-6.1521343161090325,0,-0.1521343161090325,-0.1521343161090325,0.0,-0.1521343161090325,0,"['CH4(g) - 2.0H2(g)', '[*]']",['[C][*]']
154,CH4(g) - 2.0H2(g) + * → C*,2.11,,Co1,111,"{""C"": ""hollow|A_A_A|HCP""}",BEEF-vdW/Quantum ESPRESSO 5.1,,Cobalt,27,58.933,9,2.0,1.33,1.16,59,58.933195,27,27,0,27.0,0,58.933195,58.933195,0.0,58.933195,0,4,4,0,4.0,0,9,9,0,9.0,0,135,135,0,135.0,0,6.67,6.67,0.0,6.67,0,16200,16200,0,16200.0,0,1768.0,1768.0,0.0,1768.0,0,3200.0,3200.0,0.0,3200.0,0,24.81,24.81,0.0,24.81,0,760400,760400,0,760400.0,0,1.88,1.88,0.0,1.88,0,7.5,7.5,0.0,7.5,0,-4.65,-4.65,0.0,-4.65,0,-4.75434862602704,-4.75434862602704,0.0,-4.75434862602704,0,-0.10434862602703987,-0.10434862602703987,0.0,-0.10434862602703987,0,"['CH4(g) - 2.0H2(g)', '[*]']",['[C][*]']
155,CH4(g) - 2.0H2(g) + * → C*,,,Ni1,111,,,,Nickel,28,58.693,10,2.0,1.5,1.15,58,57.9353429,28,28,0,28.0,0,58.6934,58.6934,0.0,58.6934,0,4,4,0,4.0,0,10,10,0,10.0,0,135,135,0,135.0,0,6.59,6.59,0.0,6.59,0,17200,17200,0,17200.0,0,1728.0,1728.0,0.0,1728.0,0,3186.0,3186.0,0.0,3186.0,0,26.07,26.07,0.0,26.07,0,737100,737100,0,737100.0,0,1.91,1.91,0.0,1.91,0,6.8,6.8,0.0,6.8,0,-3.65,-3.65,0.0,-3.65,0,-3.5687859474688026,-3.5687859474688026,0.0,-3.5687859474688026,0,0.08121405253119729,0.08121405253119729,0.0,0.08121405253119729,0,"['CH4(g) - 2.0H2(g)', '[*]']",['[C][*]']
156,CH4(g) - 2.0H2(g) + * → C*,4.11,,Cu1,111,"{""C"": ""hollow|A_A_A|FCC""}",BEEF-vdW/Quantum ESPRESSO 5.1,,Copper,29,63.546,11,2.0,1.52,1.17,63,62.9295975,29,29,0,29.0,0,63.546,63.546,0.0,63.546,0,4,4,0,4.0,0,11,11,0,11.0,0,135,135,0,135.0,0,7.11,7.11,0.0,7.11,0,13100,13100,0,13100.0,0,1357.77,1357.77,0.0,1357.77,0,3200.0,3200.0,0.0,3200.0,0,24.44,24.44,0.0,24.44,0,745500,745500,0,745500.0,0,1.9,1.9,0.0,1.9,0,6.2,6.2,0.0,6.2,0,-2.03,-2.03,0.0,-2.03,0,-1.9725806522979044,-1.9725806522979044,0.0,-1.9725806522979044,0,0.05741934770209545,0.05741934770209545,0.0,0.05741934770209545,0,"['CH4(g) - 2.0H2(g)', '[*]']",['[C][*]']
157,CH4(g) - 2.0H2(g) + * → C*,4.49,,Zn1,111,"{""C"": ""hollow|A_A_A|FCC""}",BEEF-vdW/Quantum ESPRESSO 5.1,,Zinc,30,65.39,2,2.1,1.45,1.25,64,63.9291422,30,30,0,30.0,0,65.38,65.38,0.0,65.38,0,4,4,0,4.0,0,12,12,0,12.0,0,135,135,0,135.0,0,9.16,9.16,0.0,9.16,0,7350,7350,0,7350.0,0,692.68,692.68,0.0,692.68,0,1180.0,1180.0,0.0,1180.0,0,25.39,25.39,0.0,25.39,0,906400,906400,0,906400.0,0,1.65,1.65,0.0,1.65,0,5.75,5.75,0.0,5.75,0,-1.27,-1.27,0.0,-1.27,0,-0.84,-0.84,0.0,-0.84,0,0.43000000000000005,0.43000000000000005,0.0,0.43000000000000005,0,"['CH4(g) - 2.0H2(g)', '[*]']",['[C][*]']
158,CH4(g) - 2.0H2(g) + * → C*,3.51,,Ga1,111,"{""C"": ""hollow|A_A_A|HCP""}",BEEF-vdW/Quantum ESPRESSO 5.1,,Gallium,31,69.723,3,2.1,1.22,1.26,69,68.9255736,31,31,0,31.0,0,69.723,69.723,0.0,69.723,0,4,4,0,4.0,0,13,13,0,13.0,0,130,130,0,130.0,0,11.8,11.8,0.0,11.8,0,5590,5590,0,5590.0,0,302.91,302.91,0.0,302.91,0,2477.0,2477.0,0.0,2477.0,0,25.86,25.86,0.0,25.86,0,578800,578800,0,578800.0,0,1.81,1.81,0.0,1.81,0,8.12,8.12,0.0,8.12,0,-3.03,-3.03,0.0,-3.03,0,-2.37,-2.37,0.0,-2.37,0,0.6599999999999997,0.6599999999999997,0.0,0.6599999999999997,0,"['CH4(g) - 2.0H2(g)', '[*]']",['[C][*]']
159,CH4(g) - 2.0H2(g) + * → C*,1.8,,Y1,111,"{""C"": ""hollow|A_A_A|HCP""}",BEEF-vdW/Quantum ESPRESSO 5.1,,Yttrium,39,88.906,3,2.4,1.78,1.62,89,88.9058483,39,39,0,39.0,0,88.90585,88.90585,0.0,88.90585,0,5,5,0,5.0,0,3,3,0,3.0,0,180,180,0,180.0,0,19.88,19.88,0.0,19.88,0,11400,11400,0,11400.0,0,1799.0,1799.0,0.0,1799.0,0,3609.0,3609.0,0.0,3609.0,0,26.53,26.53,0.0,26.53,0,600000,600000,0,600000.0,0,1.22,1.22,0.0,1.22,0,22.7,22.7,0.0,22.7,0,-5.48,-5.48,0.0,-5.48,0,-4.812621315561298,-4.812621315561298,0.0,-4.812621315561298,0,0.6673786844387024,0.6673786844387024,0.0,0.6673786844387024,0,"['CH4(g) - 2.0H2(g)', '[*]']",['[C][*]']
